Date,days,SPY,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
20180305,91,0.151627,0.169137,-999,0.204126,0.186018,0.171811,0.184926,0.135087,0.176512,0.154734,0.161307,0.174586
20180306,91,0.147463,0.163968,-999,0.200635,0.184416,0.167443,0.178776,0.132253,0.173905,0.156561,0.152757,0.166025
20180307,91,0.148848,0.169344,-999,0.200977,0.185508,0.170019,0.180056,0.137898,0.173431,0.161675,0.156848,0.167037
20180308,91,0.139439,0.159149,-999,0.191738,0.17845,0.161164,0.171649,0.127845,0.15429,0.152043,0.147925,0.161699
20180309,91,0.128751,0.152306,-999,0.186972,0.166755,0.147038,0.161053,0.121818,0.144549,0.146486,0.140545,0.150956
20180312,91,0.140874,0.158894,-999,0.189589,0.174781,0.163868,0.17358,0.127474,0.157611,0.148848,0.148082,0.158978
20180313,91,0.141209,0.157848,-999,0.182144,0.178272,0.159435,0.174374,0.127296,0.153444,0.148289,0.144354,0.155056
20180314,91,0.143976,0.1605,-999,0.186162,0.179786,0.164964,0.178325,0.126618,0.149284,0.145263,0.143161,0.156355
20180315,91,0.145287,0.168975,-999,0.191353,0.181831,0.16582,0.176391,0.126287,0.150371,0.146478,0.146314,0.156644
20180316,91,0.141579,0.16677,-999,0.182698,0.180639,0.161604,0.17408,0.125865,0.147092,0.140792,0.145705,0.153736
20180319,91,0.153734,0.171449,-999,0.192513,0.18748,0.172051,0.19028,0.136054,0.151033,0.146809,0.155171,0.165735
20180320,91,0.149323,0.170153,-999,0.18712,0.183938,0.163911,0.185135,0.128992,0.148944,0.144784,0.148669,0.158343
20180321,91,0.149153,0.172148,-999,0.192871,0.18591,0.164543,0.188812,0.133555,0.15592,0.145385,0.153181,0.156829
20180322,91,0.170008,0.193281,-999,0.203782,0.210075,0.186427,0.216396,0.144321,0.168596,0.147506,0.171839,0.178604
20180323,91,0.188451,0.200384,-999,0.215493,0.228867,0.206442,0.237533,0.158394,0.165287,0.154465,0.186505,0.200888
20180326,91,0.164928,0.189024,-999,0.203048,0.209118,0.182899,0.205542,0.144494,0.154418,0.152266,0.169365,0.180839
20180327,91,0.174072,0.197758,-999,0.211246,0.221373,0.195766,0.228287,0.149361,0.160151,0.152848,0.175236,0.194829
20180328,91,0.183264,0.199466,-999,0.217153,0.224406,0.202853,0.241385,0.154031,0.160098,0.154988,0.184683,0.20724
20180329,91,0.173582,0.186902,-999,0.203666,0.212438,0.188672,0.223442,0.144901,0.151869,0.147837,0.174487,0.187892
20180402,91,0.186515,0.202642,-999,0.215827,0.228829,0.198765,0.240144,0.157223,0.159243,0.154724,0.193691,0.203363
20180403,91,0.174236,0.185528,-999,0.203187,0.214189,0.18342,0.2246,0.145849,0.150857,0.153661,0.174652,0.193143
20180404,91,0.17299,0.188378,-999,0.205551,0.213116,0.184247,0.216682,0.146767,0.147076,0.148455,0.174104,0.188666
20180405,91,0.161131,0.175909,-999,0.200727,0.208743,0.174985,0.204761,0.142466,0.14402,0.140778,0.16341,0.181172
20180406,91,0.177742,0.197056,-999,0.212563,0.220036,0.195664,0.220648,0.15115,0.151759,0.151006,0.178444,0.195533
20180409,91,0.17308,0.192225,-999,0.209215,0.211912,0.19235,0.214549,0.143684,0.156629,0.143207,0.176656,0.191783
20180410,91,0.164812,0.1862,-999,0.20877,0.208604,0.18386,0.200948,0.139885,0.15024,0.142424,0.170286,0.183814
20180411,91,0.166324,0.194738,-999,0.21068,0.213527,0.18617,0.201752,0.139954,0.154791,0.142149,0.17286,0.181862
20180412,91,0.15736,0.185636,-999,0.20973,0.216098,0.175575,0.197564,0.1307,0.148331,0.142383,0.166743,0.175746
20180413,91,0.150183,0.176854,-999,0.201095,0.204501,0.172674,0.189014,0.126156,0.139286,0.136793,0.160262,0.172972
20180416,91,0.139707,0.163115,-999,0.191185,0.191945,0.160633,0.180858,0.123611,0.134314,0.134773,0.151445,0.161783
20180417,91,0.128986,0.155764,-999,0.184052,0.179703,0.154309,0.173147,0.117903,0.12915,0.129073,0.140913,0.15092
20180418,91,0.127428,0.154672,-999,0.184885,0.18544,0.150105,0.175701,0.114209,0.132222,0.127438,0.142576,0.153465
20180419,91,0.130219,0.156372,-999,0.18566,0.181294,0.148536,0.1764,0.124776,0.13066,0.125925,0.144409,0.157347
20180420,91,0.136238,0.158043,-999,0.189245,0.179844,0.154822,0.18403,0.129882,0.130559,0.128056,0.146822,0.16357
20180423,91,0.138264,0.159498,-999,0.186863,0.177706,0.156403,0.188705,0.124318,0.12647,0.128576,0.145057,0.165594
20180424,91,0.146045,0.167515,-999,0.19499,0.182222,0.166399,0.19499,0.130798,0.128867,0.130484,0.149723,0.172229
20180425,91,0.144826,0.164818,-999,0.194597,0.183105,0.167393,0.195397,0.128727,0.128582,0.126595,0.145561,0.169581
20180426,91,0.139972,0.160686,-999,0.184268,0.176738,0.167377,0.184956,0.123906,0.122204,0.127968,0.142373,0.160341
20180427,91,0.13971,0.159507,-999,0.187819,0.170379,0.165362,0.182041,0.12145,0.124504,0.126686,0.141376,0.160459
20180430,91,0.142153,0.16465,-999,0.186718,0.168172,0.167176,0.184423,0.122661,0.121583,0.125099,0.148481,0.162222
20180501,91,0.136992,0.159411,-999,0.182425,0.160595,0.164901,0.174775,0.126707,0.119419,0.126893,0.144722,0.161024
20180502,91,0.137741,0.160654,-999,0.181429,0.167786,0.166284,0.176454,0.12518,0.124063,0.123201,0.146833,0.159682
20180503,91,0.137955,0.164031,-999,0.181456,0.169493,0.164026,0.175149,0.139964,0.121686,0.126628,0.146721,0.156663
20180504,91,0.131418,0.160116,-999,0.178862,0.165193,0.158217,0.163426,0.127334,0.121495,0.125669,0.143702,0.153675
20180507,91,0.133605,0.162372,-999,0.187471,0.163676,0.159207,0.164387,0.139159,0.114398,0.126728,0.145492,0.154666
